Date,Positive,dPositive,Death,dDeath
25-Jan-20,3,3,0,0
26-Jan-20,4,1,0,0
27-Jan-20,4,0,0,0
28-Jan-20,4,0,0,0
29-Jan-20,7,3,0,0
30-Jan-20,8,1,0,0
31-Jan-20,8,0,0,0
01-Feb-20,8,0,0,0
02-Feb-20,8,0,0,0
03-Feb-20,8,0,0,0
04-Feb-20,10,2,0,0
05-Feb-20,12,2,0,0
06-Feb-20,14,2,0,0
07-Feb-20,14,0,0,0
08-Feb-20,16,2,0,0
09-Feb-20,17,1,0,0
10-Feb-20,18,1,0,0
11-Feb-20,18,0,0,0
12-Feb-20,18,0,0,0
13-Feb-20,19,1,0,0
14-Feb-20,19,0,0,0
15-Feb-20,22,3,0,0
16-Feb-20,22,0,0,0
17-Feb-20,22,0,0,0
18-Feb-20,22,0,0,0
19-Feb-20,22,0,0,0
20-Feb-20,22,0,0,0
21-Feb-20,22,0,0,0
22-Feb-20,22,0,0,0
23-Feb-20,22,0,0,0
24-Feb-20,22,0,0,0
25-Feb-20,22,0,0,0
26-Feb-20,22,0,0,0
27-Feb-20,22,0,0,0
28-Feb-20,25,3,0,0
29-Feb-20,25,0,0,0
01-Mar-20,29,4,0,0
02-Mar-20,29,0,0,0
03-Mar-20,36,7,0,0
04-Mar-20,50,14,0,0
05-Mar-20,55,5,0,0
06-Mar-20,83,28,0,0
07-Mar-20,93,10,0,0
08-Mar-20,99,6,0,0
09-Mar-20,117,18,0,0
10-Mar-20,129,12,0,0
11-Mar-20,149,20,0,0
12-Mar-20,158,9,0,0
13-Mar-20,197,39,0,0
14-Mar-20,238,41,0,0
15-Mar-20,428,190,0,0
16-Mar-20,553,125,0,0
17-Mar-20,673,120,2,2
18-Mar-20,790,117,2,0
19-Mar-20,900,110,2,0
20-Mar-20,1030,130,2,0
21-Mar-20,1183,153,4,2
22-Mar-20,1306,123,10,6
23-Mar-20,1518,212,14,4
24-Mar-20,1624,106,15,1
25-Mar-20,1796,172,19,4
26-Mar-20,2031,235,23,4
27-Mar-20,2161,130,26,3
28-Mar-20,2320,159,27,1
29-Mar-20,2470,150,34,7
30-Mar-20,2626,156,37,3
31-Mar-20,2766,140,43,6
01-Apr-20,2908,142,45,2
02-Apr-20,3116,208,50,5
03-Apr-20,3333,217,53,3
04-Apr-20,3483,150,57,4
05-Apr-20,3662,179,61,4
06-Apr-20,3793,131,62,1
07-Apr-20,3963,170,63,1
08-Apr-20,4119,156,65,2
09-Apr-20,4228,109,67,2
10-Apr-20,4346,118,70,3
11-Apr-20,4530,184,73,3
12-Apr-20,4683,153,76,3
13-Apr-20,4817,134,77,1
14-Apr-20,4987,170,82,5
15-Apr-20,5072,85,83,1
16-Apr-20,5182,110,84,1
17-Apr-20,5251,69,86,2
18-Apr-20,5305,54,88,2
19-Apr-20,5389,84,89,1
20-Apr-20,5425,36,89,0
21-Apr-20,5482,57,92,3
22-Apr-20,5532,50,93,1
23-Apr-20,5603,71,95,2
24-Apr-20,5691,88,96,1
25-Apr-20,5742,51,98,2
26-Apr-20,5780,38,98,0
27-Apr-20,5820,40,99,1
28-Apr-20,5851,31,100,1
29-Apr-20,5945,94,100,0
30-Apr-20,6002,57,102,2
01-May-20,6071,69,103,1
02-May-20,6176,105,103,0
03-May-20,6298,122,105,2
04-May-20,6353,55,105,0
05-May-20,6383,30,106,1
06-May-20,6428,45,107,1
07-May-20,6467,39,107,0
08-May-20,6535,68,107,0
09-May-20,6589,54,108,1
10-May-20,6656,67,108,0
11-May-20,6726,70,109,1
12-May-20,6742,16,109,0
13-May-20,6779,37,111,2
14-May-20,6819,40,112,1
15-May-20,6855,36,112,0
16-May-20,6872,17,113,1
17-May-20,6894,22,113,0
18-May-20,6941,47,113,0
19-May-20,6978,37,114,1
20-May-20,7009,31,114,0
21-May-20,7059,50,114,0
22-May-20,7137,78,115,1
23-May-20,7185,48,115,0
24-May-20,7245,60,115,0
25-May-20,7417,172,115,0
26-May-20,7604,187,115,0
27-May-20,7619,15,115,0
28-May-20,7629,10,115,0
29-May-20,7732,103,115,0
30-May-20,7762,30,115,0
31-May-20,7819,57,115,0
01-Jun-20,7857,38,115,0
02-Jun-20,7877,20,115,0
03-Jun-20,7970,93,115,0
04-Jun-20,8247,277,115,0
05-Jun-20,8266,19,116,1
06-Jun-20,8303,37,117,1
07-Jun-20,8322,19,117,0
